SampleName	SampleID	AssemblyGroup	FastqFile
A10_R1	A10_R1	A10	A10_R1
A27_R2	A27_R2	A27	A27_R2
A21_R2	A21_R2	A21	A21_R2
A19_R1	A19_R1	A19	A19_R1
A18_R1	A18_R1	A18	A18_R1
A4_R2	A4_R2	A4	A4_R2
A11_R1	A11_R1	A11	A11_R1
A12_R2	A12_R2	A12	A12_R2
A8_R2	A8_R2	A8	A8_R2
A1_R2	A1_R2	A1	A1_R2
A15_R2	A15_R2	A15	A15_R2
A1_R1	A1_R1	A1	A1_R1
A15_R1	A15_R1	A15	A15_R1
A20_R1	A20_R1	A20	A20_R1
A19_R2	A19_R2	A19	A19_R2
A27_R1	A27_R1	A27	A27_R1
A21_R1	A21_R1	A21	A21_R1
A10_R2	A10_R2	A10	A10_R2
A4_R1	A4_R1	A4	A4_R1
A8_R1	A8_R1	A8	A8_R1
A20_R2	A20_R2	A20	A20_R2
A11_R2	A11_R2	A11	A11_R2
A18_R2	A18_R2	A18	A18_R2
A12_R1	A12_R1	A12	A12_R1
